unix,a,b,c,v,p,t,l,h,o
1607920348,19099.5,19099.4,19099.5,802.8474919,19177.24123,3580,19002,19342.7,1
1607920358,19099.5,19099.4,19099.5,802.8474919,19177.24123,3580,19002,19342.7,1
1607920368,19099.5,19099.4,19099.4,802.8674919,19177.23929,3581,19002,19342.7,1
1607920379,19099.5,19099.4,19099.5,802.8830078,19177.23779,3582,19002,19342.7,1
1607920389,19099.5,19099.4,19099.5,802.8850683,19177.23759,3583,19002,19342.7,1
1607920399,19099.5,19099.4,19099.5,802.8850683,19177.23759,3583,19002,19342.7,1
1607920409,19109.9,19108.1,19099.5,802.9340683,19177.23284,3588,19002,19342.7,1
1607920420,19112.4,19109.6,19109.6,803.0421523,19177.22374,3594,19002,19342.7,1
1607920431,19115.1,19111.4,19111.3,809.1916768,19176.77577,3620,19002,19342.7,1
1607920441,19115.4,19114.8,19114.6,809.6966404,19176.73569,3624,19002,19342.7,1
1607920451,19115.5,19115.4,19114.6,809.6966404,19176.73569,3624,19002,19342.7,1
1607920462,19115.5,19115.4,19114.6,809.6966404,19176.73569,3624,19002,19342.7,1
1607920472,19110.1,19110,19120.9,809.7095262,19176.73474,3628,19002,19342.7,1
1607920482,19117.5,19113.6,19122.1,829.7109304,19175.33659,3654,19002,19342.7,1
1607920492,19116.3,19113.6,19118.3,832.7045137,19175.13007,3669,19002,19342.7,1
1607920502,19120.8,19118.4,19118.7,832.7555137,19175.12661,3670,19002,19342.7,1
1607920512,19119.3,19114.2,19118.7,832.7555137,19175.12661,3670,19002,19342.7,1
1607920523,19119.2,19118.8,19118.7,832.7555137,19175.12661,3670,19002,19342.7,1
1607920533,19118.9,19118.8,19118.7,832.7555137,19175.12661,3670,19002,19342.7,1
1607920543,19118.9,19118.8,19118.7,832.7555137,19175.12661,3670,19002,19342.7,1
1607920553,19118.9,19118.8,19118.7,832.7555137,19175.12661,3670,19002,19342.7,1
1607920569,19079,19076.5,19082.9,835.4754937,19174.87993,3701,19002,19342.7,1
