unix,a,b,c,v,p,t,l,h,o
1609222626.0188353,705.02,704.75,704.99,49963.71932996,707.22682,11729,686.76,738.97,7
1609222636.246762,705.01,704.81,705.01,49964.71932996,707.22678,11730,686.76,738.97,7
1609222646.457261,704.96,704.62,704.62,49966.41621284,707.22669,11733,686.76,738.97,7
1609222656.6717343,704.9,704.85,704.62,49966.41621284,707.22669,11733,686.76,738.97,7
1609222666.8739552,705.03,705.02,704.62,49966.41621284,707.22669,11733,686.76,738.97,7
1609222677.123083,705.5,705.43,705.62,49997.75917364,707.22562,11745,686.76,738.97,7
1609222687.3274288,705.5,705.39,705.62,49997.75917364,707.22562,11745,686.76,738.97,7
1609222697.8614452,705.49,705.48,705.43,49999.00019531,707.22558,11749,686.76,738.97,7
1609222708.0822375,705.43,705.24,705.43,49999.00019531,707.22558,11749,686.76,738.97,7
1609222718.2824218,705.22,705.06,705.43,49999.00019531,707.22558,11749,686.76,738.97,7
1609222728.5040884,705.18,705.17,705.43,49999.00019531,707.22558,11749,686.76,738.97,7
1609222738.7107306,705.5,705.45,705.49,50001.86442001,707.22548,11751,686.76,738.97,7
1609222748.9285717,705.46,705.45,705.49,50001.86442001,707.22548,11751,686.76,738.97,7
1609222759.1451125,706.15,705.97,705.73,50006.42270639,707.22532,11759,686.76,738.97,7
1609222769.36315,706.19,706.18,706.19,50007.42270639,707.2253,11761,686.76,738.97,7
1609222779.560958,706.49,706.33,706.33,50012.21871511,707.2252,11765,686.76,738.97,7
1609222789.7677865,705.91,705.83,706.11,50014.05003256,707.22517,11768,686.76,738.97,7
1609222800.0320098,705.68,705.36,706.11,50014.05003256,707.22517,11768,686.76,738.97,7
1609222810.235366,705.62,705.55,705.28,50015.24620421,707.22512,11770,686.76,738.97,7
1609222820.4004383,706.12,705.78,705.83,50056.51579107,707.22411,11780,686.76,738.97,7
1609222830.9802177,705.98,705.84,705.83,50056.51579107,707.22411,11780,686.76,738.97,7
1609222841.2013788,705.98,705.92,705.83,50056.51579107,707.22411,11780,686.76,738.97,7
1609222851.420272,706.48,706.47,706.47,50058.13724852,707.22407,11789,686.76,738.97,7
1609222861.655224,706.49,706.48,706.47,50058.13724852,707.22407,11789,686.76,738.97,7
1609222871.8535886,706.99,706.69,706.56,50061.48769252,707.22402,11791,686.76,738.97,7
1609222882.1043582,707.18,707.17,706.99,50063.34067604,707.22401,11796,686.76,738.97,7
1609222892.3148444,707.18,707.17,706.99,50063.34067604,707.22401,11796,686.76,738.97,7
1609222902.8650844,707.76,707.75,707.49,50070.72641395,707.22402,11803,686.76,738.97,7
1609222913.0756774,708.18,708.1,707.81,50072.33011428,707.22403,11809,686.76,738.97,7
