unix,a,b,c,v,p,t,l,h,o
1608955136.690891,24884.80000,24884.70000,24884.80000,1190.92768222,24839.70620,6839,24500.00000,25068.90000,2
1608955161.064578,24894.20000,24894.10000,24894.10000,1193.48082234,24839.78613,6854,24500.00000,25068.90000,2
1608955920.141587,24848.10000,24848.00000,24848.00000,1236.64329070,24839.10165,7117,24500.00000,25068.90000,2
1608955932.3265548,24848.10000,24848.00000,24848.00000,1236.64329070,24839.10165,7117,24500.00000,25068.90000,2
1608955944.112551,24848.10000,24848.00000,24848.10000,1236.65922671,24839.10177,7119,24500.00000,25068.90000,2
1608955955.279215,24848.10000,24848.00000,24848.10000,1236.66322671,24839.10180,7120,24500.00000,25068.90000,2
1608955966.4986508,24848.10000,24848.00000,24848.00000,1236.67355640,24839.10187,7123,24500.00000,25068.90000,2
1608955977.736871,24836.30000,24836.20000,24848.00000,1237.23492677,24839.10591,7137,24500.00000,25068.90000,2
1608955989.035628,24836.30000,24836.20000,24836.20000,1237.24425677,24839.10589,7139,24500.00000,25068.90000,2
1608956000.212532,24828.70000,24828.60000,24828.70000,1237.33853445,24839.10565,7147,24500.00000,25068.90000,2
1608956016.3504488,24828.80000,24828.70000,24828.70000,1237.34643266,24839.10558,7148,24500.00000,25068.90000,2
1608956029.442695,24834.60000,24834.50000,24839.50000,1237.35042040,24839.10556,7150,24500.00000,25068.90000,2
1609002451.402066,25824.90000,25824.80000,25824.90000,5022.89990078,25184.61937,26423,24500.00000,25890.50000,2
1609002480.872133,25848.20000,25848.10000,25848.20000,5026.37992812,25185.06424,26444,24500.00000,25890.50000,2
1609002492.841072,25853.00000,25852.90000,25853.00000,5026.61609944,25185.09551,26451,24500.00000,25890.50000,2
1609002504.1436439,25853.70000,25853.60000,25853.60000,5036.45220269,25186.40023,26467,24500.00000,25890.50000,2
1609002515.302811,25852.10000,25851.30000,25850.00000,5037.92333439,25186.59477,26476,24500.00000,25890.50000,2
1609002526.408572,25850.20000,25850.10000,25850.20000,5037.97561506,25186.60166,26479,24500.00000,25890.50000,2
1609002537.5309088,25850.20000,25850.10000,25850.20000,5038.03839655,25186.60993,26481,24500.00000,25890.50000,2
1609002548.745732,25844.30000,25840.30000,25843.20000,5048.08232948,25187.91101,26507,24500.00000,25890.50000,2
1609002559.914638,25850.30000,25850.20000,25844.10000,5048.38337134,25187.95014,26509,24500.00000,25890.50000,2
1609002571.2523031,25852.40000,25848.00000,25852.40000,5051.30695602,25188.33509,26517,24500.00000,25890.50000,2
1609002582.379929,25853.70000,25852.50000,25854.70000,5051.32045602,25188.33688,26518,24500.00000,25890.50000,2
1609002594.001225,25860.00000,25859.80000,25858.80000,5052.49934792,25188.49294,26524,24500.00000,25890.50000,2
1609002605.0600471,25860.00000,25858.50000,25858.80000,5052.49934792,25188.49294,26524,24500.00000,25890.50000,2
1609002616.258286,25835.50000,25828.00000,25828.00000,5055.32054757,25188.85752,26541,24500.00000,25890.50000,2
1609002627.483155,25833.30000,25833.20000,25828.00000,5055.32054757,25188.85752,26541,24500.00000,25890.50000,2
1609002638.919292,25836.10000,25829.40000,25830.10000,5055.68453666,25188.90360,26546,24500.00000,25890.50000,2
1609002650.0494652,25847.40000,25845.80000,25847.50000,5056.45878666,25189.00482,26548,24500.00000,25890.50000,2
1609002661.10313,25841.00000,25833.30000,25848.40000,5064.45878666,25190.04470,26556,24500.00000,25890.50000,2
1609002672.135276,25840.30000,25835.10000,25834.90000,5064.48986665,25190.04867,26559,24500.00000,25890.50000,2
1609002683.481146,25853.00000,25850.40000,25844.30000,5064.71414152,25190.07763,26564,24500.00000,25890.50000,2
1609002694.839252,25859.10000,25854.90000,25859.10000,5064.90526092,25190.10279,26568,24500.00000,25890.50000,2
1609002705.9659321,25855.70000,25851.90000,25859.40000,5065.69667398,25190.20735,26571,24500.00000,25890.50000,2
1609002717.107287,25845.70000,25842.00000,25842.60000,5065.80075890,25190.22075,26574,24500.00000,25890.50000,2
1609002728.225496,25853.80000,25848.60000,25848.60000,5066.12408515,25190.26252,26580,24500.00000,25890.50000,2
1609002739.600364,25867.30000,25867.20000,25867.30000,5066.72914170,25190.34197,26592,24500.00000,25890.50000,2
1609002750.6408598,25867.30000,25864.00000,25862.50000,5066.79349613,25190.35052,26594,24500.00000,25890.50000,2
1609002761.788296,25853.00000,25848.20000,25853.00000,5066.94276961,25190.37046,26602,24500.00000,25890.50000,2
1609002772.970594,25843.10000,25840.80000,25841.40000,5067.55253681,25190.44913,26608,24500.00000,25890.50000,2
1609002784.0877178,25848.20000,25844.60000,25842.70000,5068.12388392,25190.52263,26614,24500.00000,25890.50000,2
1609002795.2285519,25850.00000,25849.90000,25844.30000,5073.29111823,25191.19077,26621,24500.00000,25890.50000,2
