time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol
1608146400,20672.5,20673.7,20645,20645.1,0.8236,17014.71,force_direct,
1608146460,20677.3,20677.3,20667,20672.5,1.744,36047.34,force_direct,
1608146520,20682.2,20684.5,20673.1,20677.3,5.371,111093.88,force_direct,
1608146580,20694.7,20699.9,20672.4,20682.2,24.77,512470.68,force_direct,
1608146640,20690,20695,20683.4,20694.7,2.248,46521.52,force_direct,
1608146700,20692.4,20700,20689.9,20690,0.5661,11714.16,force_direct,
1608146760,20699.2,20700,20692.3,20692.4,0.6571,13600.59,force_direct,
1608146820,20701.2,20701.2,20699.1,20699.2,1.334,27618.5,force_direct,
1608146880,20706.8,20706.8,20701.2,20701.2,1.454,30106.15,force_direct,
1608146940,20707.5,20710.5,20706.6,20706.8,1.063,22020.16,force_direct,
1608147000,20707.9,20715.1,20707.5,20707.5,1.218,25224.1,force_direct,
1608147060,20709.4,20711.3,20707.9,20707.9,1.017,21070.55,force_direct,
1608147120,20711.3,20711.8,20707.9,20709.4,0.4062,8410.79,force_direct,
1608147180,20711.6,20712,20709.9,20711.3,0.7751,16054.17,force_direct,
1608147240,20711.6,20711.6,20711.6,20711.6,0.7797,16149.21,force_direct,
1608147300,20712,20712,20711.6,20711.6,0.2064,4275.75,force_direct,
1608147360,20713.4,20713.4,20711.5,20712,1.148,23785.11,force_direct,
1608147420,20713.3,20713.4,20713.3,20713.4,0.7165,14841.18,force_direct,
1608147480,20723.2,20723.3,20713.3,20713.3,3.733,77339.69,force_direct,
1608147540,20727.9,20728,20723.2,20723.2,0.4475,9276.3,force_direct,
1608147600,20727.6,20728,20727.5,20727.9,5.62,116480.15,force_direct,
1608147660,20727.5,20727.6,20727.5,20727.6,0.113,2343.11,force_direct,
1608147720,20727.5,20727.6,20727.3,20727.5,2.366,49049.7,force_direct,
1608147780,20727.4,20727.5,20723.4,20727.5,1.398,28966.41,force_direct,
1608147840,20734.4,20734.4,20727.4,20727.4,3.979,82487.8,force_direct,
1608147900,20727.5,20734.4,20727.4,20734.4,0.7621,15796.92,force_direct,
1608147960,20737,20737,20727.5,20727.5,1.26,26130.03,force_direct,
1608148020,20746.5,20746.7,20737,20737,1.052,21823.14,force_direct,
1608148080,20738.9,20746.6,20737.9,20746.5,3.546,73538.73,force_direct,
1608148140,20740.8,20741.3,20738.5,20738.9,5.846,121231.98,force_direct,
1608148200,20749.9,20750,20740.8,20740.8,1.298,26926.21,force_direct,
1608148260,20760.3,20760.6,20749.9,20749.9,2.241,46520.02,force_direct,
1608148320,20795.3,20795.3,20760.3,20760.3,13.42,278904.52,force_direct,
1608148380,20788.5,20795.3,20788.3,20795.3,14.11,293258.62,force_direct,
1608148440,20760.6,20788.5,20759.9,20788.5,2.499,51927.47,force_direct,
