unix,a,b,c,v,p,t,l,h,o
1609233657.4718227,127.72,127.71,127.57,40190.8590472,126.47323,7202,122.55,130.5,1
1609233667.7237737,127.72,127.71,127.71,40192.262218,126.47328,7205,122.55,130.5,1
1609233678.2586057,127.72,127.71,127.71,40192.262218,126.47328,7205,122.55,130.5,1
1609233688.4908376,127.89,127.88,127.75,40193.72464082,126.47332,7211,122.55,130.5,1
1609233699.0457582,127.89,127.88,127.75,40193.72464082,126.47332,7211,122.55,130.5,1
1609233709.2715416,127.89,127.88,127.75,40193.72464082,126.47332,7211,122.55,130.5,1
1609233719.5117707,127.92,127.91,127.91,40196.95116201,126.47344,7217,122.55,130.5,1
1609233729.7773306,128.01,128.0,128.0,40209.82231622,126.47391,7230,122.55,130.5,1
1609233740.0015132,128.14,128.13,128.14,40214.8857792,126.47411,7239,122.55,130.5,1
1609233750.2419608,128.15,128.13,128.14,40214.8857792,126.47411,7239,122.55,130.5,1
1609233760.4696214,128.14,128.13,128.14,40214.8857792,126.47411,7239,122.55,130.5,1
1609233770.6885448,128.14,128.13,128.14,40214.8857792,126.47411,7239,122.55,130.5,1
1609233780.941635,128.14,128.13,128.14,40214.8857792,126.47411,7239,122.55,130.5,1
1609233791.1756482,128.14,128.13,128.14,40214.8857792,126.47411,7239,122.55,130.5,1
1609233801.4123938,128.14,128.13,128.14,40214.8857792,126.47411,7239,122.55,130.5,1
1609233811.6510537,128.14,128.13,128.14,40214.8857792,126.47411,7239,122.55,130.5,1
1609233821.8821304,128.07,128.05,128.13,40215.0857793,126.47412,7241,122.55,130.5,1
1609233832.127066,128.12,128.08,128.07,40216.0891167,126.47416,7243,122.55,130.5,1
1609233842.3484633,128.12,128.09,128.07,40216.0891167,126.47416,7243,122.55,130.5,1
1609233852.5868926,128.12,128.11,128.07,40216.0891167,126.47416,7243,122.55,130.5,1
1609233862.809987,128.3,128.29,128.17,40217.31496253,126.47421,7256,122.55,130.5,1
1609233873.0544038,128.3,128.29,128.17,40217.31496253,126.47421,7256,122.55,130.5,1
1609233883.2944417,128.3,128.29,128.17,40217.31496253,126.47421,7256,122.55,130.5,1
1609233893.5312726,128.3,128.29,128.17,40217.31496253,126.47421,7256,122.55,130.5,1
1609233903.7701323,128.43,128.4,128.42,40221.85254129,126.47442,7268,122.55,130.5,1
1609233914.016365,128.43,128.42,128.42,40221.85254129,126.47442,7268,122.55,130.5,1
1609233924.5247507,128.45,128.44,128.44,40222.67093917,126.47446,7272,122.55,130.5,1
1609233935.0793371,128.46,128.45,128.46,40223.00165841,126.47448,7274,122.55,130.5,1
1609233945.3235042,128.46,128.45,128.46,40223.00165841,126.47448,7274,122.55,130.5,1
1609233955.5463672,128.46,128.45,128.46,40223.00165841,126.47448,7274,122.55,130.5,1
1609233965.788201,128.46,128.45,128.46,40223.00165841,126.47448,7274,122.55,130.5,1
1609233976.018386,128.46,128.45,128.46,40223.00165841,126.47448,7274,122.55,130.5,1
1609233986.2502294,128.46,128.45,128.46,40223.00165841,126.47448,7274,122.55,130.5,1
1609233996.4856105,128.46,128.45,128.46,40223.00165841,126.47448,7274,122.55,130.5,1
1609234006.7248678,128.53,128.52,128.49,40223.68317452,126.47451,7279,122.55,130.5,1
1609234016.9694235,128.53,128.52,128.49,40223.68317452,126.47451,7279,122.55,130.5,1
1609234027.2082815,128.53,128.52,128.49,40223.68317452,126.47451,7279,122.55,130.5,1
1609234037.4656062,128.71,128.7,128.69,40234.09893889,126.47508,7283,122.55,130.5,1
1609234047.7063386,128.55,128.53,128.69,40234.09893889,126.47508,7283,122.55,130.5,1
1609234058.2670257,128.62,128.58,128.69,40234.09893889,126.47508,7283,122.55,130.5,1
1609234068.4992435,128.6,128.53,128.69,40234.09893889,126.47508,7283,122.55,130.5,1
1609234078.747579,128.58,128.53,128.69,40234.09893889,126.47508,7283,122.55,130.5,1
1609234089.0003762,128.55,128.53,128.69,40234.09893889,126.47508,7283,122.55,130.5,1
1609234099.2349708,128.56,128.53,128.69,40234.09893889,126.47508,7283,122.55,130.5,1
1609234109.4980495,128.56,128.53,128.56,40235.12935659,126.47514,7285,122.55,130.5,1
1609234119.727609,128.56,128.55,128.56,40235.12935659,126.47514,7285,122.55,130.5,1
1609234129.9656632,128.56,128.55,128.56,40235.12935659,126.47514,7285,122.55,130.5,1
1609234140.192524,128.54,128.53,128.55,40235.42935677,126.47515,7288,122.55,130.5,1
