unix,a,b,c,v,p,t,l,h,o
1608047145,19393.6,19393.5,19393.8,3543.315861,19318.38997,16897,19048.9,19551.5,1
1608047155,19388,19385.7,19388.1,3543.586922,19318.39551,16901,19048.9,19551.5,1
1608047168,19387,19385.7,19385.3,3544.147378,19318.40611,16905,19048.9,19551.5,1
1608047178,19386.3,19386.2,19386.9,3544.194823,19318.40703,16907,19048.9,19551.5,1
1608047188,19388,19386.8,19386.3,3544.199773,19318.40712,16908,19048.9,19551.5,1
1608047198,19390,19389.9,19388,3546.219875,19318.44671,16910,19048.9,19551.5,1
1608047208,19390,19389.9,19388,3546.219875,19318.44671,16910,19048.9,19551.5,1
1608047219,19390,19389.9,19388,3546.219875,19318.44671,16910,19048.9,19551.5,1
1608047229,19390,19389.9,19389.9,3546.509875,19318.45255,16912,19048.9,19551.5,1
1608047239,19390,19389.9,19390,3546.522973,19318.45281,16913,19048.9,19551.5,1
1608047250,19390,19389.9,19389.9,3548.536743,19318.49336,16928,19048.9,19551.5,1
1608047260,19395,19394.9,19390,3548.559875,19318.49383,16929,19048.9,19551.5,1
1608047271,19395,19394.9,19390,3548.559875,19318.49383,16929,19048.9,19551.5,1
1608047281,19395,19394.9,19394.9,3548.669548,19318.49619,16931,19048.9,19551.5,1
1608047291,19396.4,19396.3,19395,3548.728558,19318.49746,16932,19048.9,19551.5,1
1608047301,19396.4,19396.3,19396.4,3548.735562,19318.49761,16933,19048.9,19551.5,1
1608047312,19396.4,19396.3,19396.3,3548.736863,19318.49764,16934,19048.9,19551.5,1
1608047322,19396.4,19396.3,19396.3,3548.736863,19318.49764,16934,19048.9,19551.5,1
1608047332,19396.4,19396.3,19396.3,3549.836863,19318.52175,16938,19048.9,19551.5,1
1608047343,19396.2,19396.1,19396.3,3550.088863,19318.52727,16941,19048.9,19551.5,1
1608047353,19396.3,19396.2,19396.1,3550.089953,19318.5273,16942,19048.9,19551.5,1
1608047363,19396.3,19396.2,19396.2,3550.714275,19318.54095,16945,19048.9,19551.5,1
1608047374,19396.3,19396.2,19396.2,3550.716275,19318.541,16946,19048.9,19551.5,1
1608047384,19396.3,19396.2,19396.2,3550.716275,19318.541,16946,19048.9,19551.5,1
1608047394,19396.3,19396.2,19396.2,3552.716275,19318.58474,16951,19048.9,19551.5,1
1608047405,19396.3,19396.2,19396.3,3552.748628,19318.58545,16953,19048.9,19551.5,1
1608047415,19396.3,19396.2,19396.3,3562.751088,19318.80285,16971,19048.9,19551.5,1
1608047425,19396.3,19396.2,19396.3,3562.777845,19318.80343,16972,19048.9,19551.5,1
1608047435,19396.3,19396.2,19396.3,3562.777845,19318.80343,16972,19048.9,19551.5,1
1608047446,19402.2,19400.2,19402.3,3563.812189,19318.82641,16983,19048.9,19551.5,1
1608047456,19405.5,19405.4,19402.3,3563.812189,19318.82641,16983,19048.9,19551.5,1
1608047466,19413.8,19412.5,19412.5,3563.997552,19318.8311,16992,19048.9,19551.5,1
1608047476,19414.3,19414.2,19413.8,3564.254845,19318.83795,16994,19048.9,19551.5,1
1608047487,19425.8,19418,19425.8,3564.782374,19318.85363,17007,19048.9,19551.5,1
1608047497,19420.9,19419.4,19425.8,3564.782374,19318.85363,17007,19048.9,19551.5,1
1608047507,19422.3,19421.3,19426.7,3574.782374,19319.14782,17023,19048.9,19551.5,1
1608047518,19423.5,19423.4,19426.7,3574.782374,19319.14782,17023,19048.9,19551.5,1
1608047528,19423.5,19423.4,19426.7,3574.782374,19319.14782,17023,19048.9,19551.5,1
1608047538,19422.9,19422.8,19422.9,3574.816502,19319.14881,17024,19048.9,19551.5,1
1608047548,19422.9,19422.8,19422.9,3574.816502,19319.14881,17024,19048.9,19551.5,1
1608047558,19423.5,19423.4,19423.5,3574.821702,19319.14896,17026,19048.9,19551.5,1
1608047569,19423.5,19423.4,19423.5,3574.821702,19319.14896,17026,19048.9,19551.5,1
1608047579,19423.5,19423.4,19423.5,3574.821702,19319.14896,17026,19048.9,19551.5,1
1608047589,19423.5,19423.4,19423.5,3574.832209,19319.14927,17027,19048.9,19551.5,1
1608047600,19423.5,19423.4,19423.5,3574.832209,19319.14927,17027,19048.9,19551.5,1
1608047610,19423.5,19423.4,19423.5,3574.946526,19319.1526,17031,19048.9,19551.5,1
1608047620,19419.1,19419,19419.1,3575.071385,19319.15622,17038,19048.9,19551.5,1
1608047630,19419.1,19419,19419.1,3576.071385,19319.18417,17040,19048.9,19551.5,1
1608047641,19403.5,19403.4,19403.5,3576.119893,19319.18551,17042,19048.9,19551.5,1
1608047651,19397,19396.3,19402.8,3576.588007,19319.19647,17049,19048.9,19551.5,1
1608047661,19397.8,19397,19397.9,3578.441537,19319.23698,17057,19048.9,19551.5,1
1608047671,19398.3,19394.6,19393.6,3588.617671,19319.4544,17072,19048.9,19551.5,1
1608047682,19388.8,19388.2,19393.6,3588.617671,19319.4544,17072,19048.9,19551.5,1
1608047692,19388.3,19388.2,19388.5,3589.132111,19319.46429,17073,19048.9,19551.5,1
1608047702,19388.3,19388.2,19388.2,3589.172111,19319.46506,17074,19048.9,19551.5,1
1608047713,19388.3,19388.2,19388.3,3589.672111,19319.47465,17077,19048.9,19551.5,1
1608047723,19384.3,19384.2,19385.8,3597.828563,19319.62846,17090,19048.9,19551.5,1
1608047733,19384.5,19384.4,19384.5,3598.133725,19319.63396,17093,19048.9,19551.5,1
1608047743,19388.9,19387.2,19384.5,3598.133725,19319.63396,17093,19048.9,19551.5,1
1608047754,19389.3,19387.9,19387.4,3598.16842,19319.63462,17095,19048.9,19551.5,1
1608047764,19387.5,19387.4,19387.4,3598.16842,19319.63462,17095,19048.9,19551.5,1
1608047774,19385.1,19384.4,19385.1,3608.917841,19319.81877,17109,19048.9,19551.5,1
1608047784,19389.1,19389,19389.1,3608.947252,19319.81934,17111,19048.9,19551.5,1
1608047795,19389.1,19389,19389.1,3608.947252,19319.81934,17111,19048.9,19551.5,1
1608047805,19389.1,19389,19389.4,3613.947252,19319.91523,17121,19048.9,19551.5,1
1608047815,19389.1,19389,19389,3613.956452,19319.91541,17123,19048.9,19551.5,1
1608047825,19389.1,19389,19389.1,3613.975793,19319.91578,17124,19048.9,19551.5,1
1608047836,19389.1,19389,19389.1,3614.016434,19319.91655,17125,19048.9,19551.5,1
1608047846,19389.1,19389,19389.1,3614.016434,19319.91655,17125,19048.9,19551.5,1
1608047856,19389.1,19389,19389,3614.067844,19319.91754,17127,19048.9,19551.5,1
1608047866,19389.1,19389,19389,3614.067844,19319.91754,17127,19048.9,19551.5,1
1608047876,19390,19389.9,19390,3615.809144,19319.95128,17131,19048.9,19551.5,1
1608047887,19390,19389.9,19390,3615.809144,19319.95128,17131,19048.9,19551.5,1
1608047897,19390,19389.9,19390,3616.958969,19319.97355,17134,19048.9,19551.5,1
1608047907,19416.2,19416.1,19416.2,3622.296353,19320.08288,17160,19048.9,19551.5,1
1608047917,19420,19419.9,19416.2,3622.296353,19320.08288,17160,19048.9,19551.5,1
1608047928,19420,19419.9,19420,3622.423736,19320.0864,17163,19048.9,19551.5,1
1608047938,19420,19419.9,19420,3622.423736,19320.0864,17163,19048.9,19551.5,1
1608047948,19415.8,19413.9,19416.7,3622.470819,19320.08765,17164,19048.9,19551.5,1
1608047958,19416.5,19416.1,19416.7,3622.470819,19320.08765,17164,19048.9,19551.5,1
1608047969,19416.5,19416.4,19416.4,3630.470819,19320.29988,17176,19048.9,19551.5,1
1608047979,19416.5,19416.4,19416.4,3630.482759,19320.3002,17177,19048.9,19551.5,1
1608047989,19416.5,19416.4,19416.4,3630.482759,19320.3002,17177,19048.9,19551.5,1
1608048000,19414.2,19414.1,19416.4,3630.482759,19320.3002,17177,19048.9,19551.5,1
1608048010,19414.2,19414.1,19414.2,3630.49549,19320.30053,17179,19048.9,19551.5,1
1608048020,19422.5,19420,19420.2,3630.612776,19320.30375,17189,19048.9,19551.5,1
1608048030,19423,19420.8,19423.4,3630.624249,19320.30408,17191,19048.9,19551.5,1
1608048041,19425.2,19422.6,19425.2,3631.643465,19320.33338,17204,19048.9,19551.5,1
1608048051,19425.5,19425.4,19425.5,3631.666865,19320.33406,17206,19048.9,19551.5,1
1608048061,19425.5,19425.4,19425.5,3631.746865,19320.33637,17207,19048.9,19551.5,1
1608048072,19435,19430.5,19425.4,3632.870265,19320.37047,17232,19048.9,19551.5,1
1608048082,19428,19427.6,19433.7,3634.220564,19320.41258,17235,19048.9,19551.5,1
1608048092,19400.2,19400.1,19400.2,3634.70334,19320.42423,17243,19048.9,19551.5,1
1608048103,19388.6,19388.5,19389.9,3635.92471,19320.44793,17248,19048.9,19551.5,1
1608048113,19386.7,19385.1,19386.2,3637.263277,19320.47296,17263,19048.9,19551.5,1
1608048123,19385.2,19385.1,19386.2,3637.263277,19320.47296,17263,19048.9,19551.5,1
1608048134,19385.2,19385.1,19385.2,3637.264392,19320.47298,17264,19048.9,19551.5,1
1608048144,19379.1,19379,19379,3653.501158,19320.73517,17283,19048.9,19551.5,1
1608048154,19360.8,19353.7,19356.2,3661.782076,19320.85253,17308,19048.9,19551.5,1
1608048165,19356.9,19352.7,19345,3671.982076,19320.92883,17333,19048.9,19551.5,1
1608048176,19365.6,19361.4,19368,3673.427717,19320.9454,17342,19048.9,19551.5,1
1608048186,19361.1,19356.5,19367,3673.55193,19320.94697,17346,19048.9,19551.5,1
1608048196,19359.1,19359,19359.1,3673.554258,19320.94699,17347,19048.9,19551.5,1
1608048206,19359.1,19359,19360,3674.159438,19320.95328,17354,19048.9,19551.5,1
1608048217,19363.7,19361.3,19359,3674.266452,19320.95441,17359,19048.9,19551.5,1
1608048227,19368,19366.3,19363.7,3675.616452,19320.97011,17360,19048.9,19551.5,1
1608048237,19359.1,19359,19365,3677.618376,19320.99481,17366,19048.9,19551.5,1
1608048247,19359.1,19359,19359.1,3680.196085,19321.0215,17374,19048.9,19551.5,1
1608048258,19359.1,19359,19359.1,3680.196085,19321.0215,17374,19048.9,19551.5,1
1608048268,19359.1,19359,19359.1,3680.196085,19321.0215,17374,19048.9,19551.5,1
1608048278,19351.4,19351.3,19363.5,3680.446085,19321.02439,17375,19048.9,19551.5,1
1608048289,19347.6,19343.8,19347.5,3685.560217,19321.05814,17387,19048.9,19551.5,1
1608048299,19343.8,19343.7,19347.5,3685.560217,19321.05814,17387,19048.9,19551.5,1
1608048309,19346.3,19343.7,19344.1,3686.007217,19321.0612,17389,19048.9,19551.5,1
1608048319,19358.8,19352.4,19359.1,3688.053541,19321.07885,17398,19048.9,19551.5,1
1608048330,19363.6,19357.7,19359.1,3688.053541,19321.07885,17398,19048.9,19551.5,1
1608048340,19354.1,19351.4,19353.8,3688.307117,19321.08109,17399,19048.9,19551.5,1
