unix,a,b,c,v,p,t,l,h,o
1609222548.4320178,17.087,16.855,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609222558.6505356,17.087,16.855,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609222568.8842478,17.087,16.855,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609222579.0805929,17.087,16.855,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609222589.2827368,17.087,16.855,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609222599.4948533,17.087,16.855,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609222609.7199583,17.085,16.855,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609222619.9539104,17.085,16.801,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609222630.1575246,17.085,16.801,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609222640.3721595,17.085,16.801,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609222650.604669,17.084,16.801,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609222660.8185005,17.083,16.801,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609222671.3387566,17.08,16.801,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609222681.542417,17.08,16.801,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609222691.7775917,17.08,16.801,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609222701.995119,17.08,16.801,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609222712.215279,17.08,16.801,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609222722.7435613,17.078,16.801,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609222732.9764872,17.076,16.801,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609222743.2231927,17.071,16.801,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609222753.668266,17.07,16.801,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609222763.8759887,17.069,16.801,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609222774.0857077,17.063,16.801,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609222784.2960925,17.074,16.82,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609222794.5260794,17.073,16.849,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609222804.7559736,17.071,16.851,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609222814.9780698,17.095,16.855,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609222825.18775,17.091,16.855,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609222835.400515,17.1,16.855,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609222846.0328405,17.113,16.855,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609222856.2660005,17.113,16.859,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609222866.726187,17.113,16.859,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609222876.9363065,17.113,16.859,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609222887.1383526,17.113,16.863,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609222897.3147895,17.113,16.863,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609222907.5394452,17.137,16.869,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609222917.767106,17.137,16.869,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609222928.2157364,17.137,16.869,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609222938.4264529,17.136,16.869,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609222948.6327732,17.137,16.869,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609222958.8579006,17.137,16.869,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609222969.2833295,17.135,16.869,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609222979.4912496,17.135,16.869,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609222989.700696,17.135,16.869,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609222999.966246,17.135,16.869,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223010.1710863,17.135,16.869,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223020.383856,17.135,16.869,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223030.640514,17.138,16.869,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223040.8481915,17.137,16.869,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223051.0519454,17.138,16.869,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223061.265708,17.134,16.869,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223071.478388,17.132,16.869,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223081.6860616,17.129,16.869,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223091.9114609,17.127,16.869,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223102.1270852,17.127,16.869,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223112.3387954,17.127,16.869,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223122.537197,17.127,16.869,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223132.74009,17.127,16.869,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223142.9715068,17.127,16.869,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223153.1874352,17.125,16.869,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223163.404633,17.125,16.869,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223173.6079147,17.125,16.869,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223183.8025808,17.136,16.869,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223194.0249991,17.136,16.869,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223204.241853,17.135,16.869,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223214.4686637,17.135,16.869,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223224.665959,17.135,16.869,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223234.873161,17.136,16.869,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223245.0772283,17.136,16.869,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223255.291531,17.136,16.869,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223265.5060067,17.136,16.869,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223275.7214231,17.136,16.869,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223285.9243329,17.136,16.869,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223296.1316545,17.134,16.869,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223306.4243567,17.134,16.869,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223316.643417,17.134,16.825,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223326.8488934,17.13,16.825,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223337.0791972,17.13,16.825,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223347.2990215,17.13,16.825,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223357.7374637,17.128,16.825,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223367.955858,17.128,16.825,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223378.170545,17.128,16.825,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223388.36906,17.124,16.825,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223398.5860436,17.124,16.825,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223408.7904067,17.124,16.825,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223419.0017002,17.124,16.825,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223429.222238,17.124,16.825,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223439.434446,17.124,16.825,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223449.6458166,17.122,16.825,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223459.8671386,17.122,16.825,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223470.0919173,17.122,16.825,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223480.332088,17.127,16.825,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223490.5498416,17.127,16.825,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223500.885188,17.127,16.826,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223511.1283543,17.131,16.826,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223521.3406167,17.131,16.826,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223531.552625,17.131,16.826,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223541.7650356,17.132,16.825,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223551.9811256,17.132,16.825,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223562.1951523,17.132,16.825,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223572.4034717,17.138,16.825,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223582.614514,17.138,16.825,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223592.8275058,17.138,16.825,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223603.0455408,17.138,16.825,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223613.2676249,17.138,16.825,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223623.4813468,17.138,16.825,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223634.004136,17.135,16.825,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223644.2167046,17.135,16.825,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223654.4188848,17.135,16.825,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223664.6381743,17.133,16.825,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223674.839361,17.131,16.826,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223685.0438852,17.128,16.826,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223695.2586057,17.125,16.826,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223705.476498,17.125,16.826,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223715.8268728,17.125,16.807,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223726.056195,17.115,16.807,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223736.610435,17.109,16.809,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223746.835044,17.105,16.809,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223757.0489771,17.103,16.809,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223767.2662458,17.109,16.809,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223777.4883144,17.105,16.813,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223787.700864,17.106,16.813,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223798.2549894,17.106,16.813,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223808.6045787,17.104,16.813,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223818.8095844,17.103,16.813,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223829.0120478,17.1,16.801,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223839.211204,17.091,16.801,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223849.4288793,17.091,16.801,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223859.6960957,17.091,16.801,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223870.233889,17.12,16.804,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223880.4749346,17.12,16.806,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223890.786034,17.12,16.808,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223901.0268102,17.126,16.808,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223911.2447383,17.126,16.808,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223921.7494247,17.126,16.815,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223932.2967532,17.126,16.816,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223942.5196097,17.126,16.816,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223952.7766843,17.126,16.817,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223963.0160837,17.125,16.817,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223973.228408,17.124,16.817,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223983.449541,17.124,16.831,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609223993.6546369,17.124,16.831,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609224003.874921,17.124,16.831,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609224014.09934,17.124,16.834,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609224024.3079944,17.152,16.834,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609224034.52776,17.152,16.834,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609224044.7347825,17.152,16.844,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609224054.9519718,17.152,16.844,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609224065.1653142,17.152,16.844,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609224075.663208,17.152,16.847,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609224085.8691034,17.15,16.847,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609224096.0754435,17.15,16.847,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609224106.286855,17.15,16.847,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609224116.5102234,17.15,16.847,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609224126.7044735,17.15,16.847,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609224136.9273248,17.15,16.849,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609224147.1401274,17.169,16.85,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609224157.3453586,17.169,16.85,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609224167.553993,17.169,16.85,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609224177.7582922,17.167,16.85,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609224188.0023715,17.167,16.85,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609224198.2090652,17.167,16.853,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609224208.4624054,17.166,16.853,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609224218.6699133,17.166,16.853,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609224228.878422,17.166,16.853,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609224239.070931,17.166,16.853,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609224249.3338263,17.166,16.853,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609224259.5494237,17.166,16.855,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609224269.7628453,17.164,16.855,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609224279.9865782,17.164,16.855,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609224290.4931438,17.164,16.855,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609224300.6987777,17.164,16.855,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609224310.9054835,17.164,16.855,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609224321.1148615,17.164,16.855,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609224331.320974,17.162,16.855,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609224341.541144,17.162,16.855,16.916,2533.93360325,17.6463,272,16.862,18.619,1
1609224351.7466724,17.162,16.862,16.916,2533.93360325,17.6463,272,16.862,18.619,1
