unix,a,b,c,v,p,t,l,h,o
1609097158.408106,0.29440000,0.29427000,0.29443000,91204179.90463032,0.29082778,20671,0.26561000,0.31138000,0
1609097169.458347,0.29392000,0.29390000,0.29394000,91207400.03638799,0.29082789,20675,0.26561000,0.31138000,0
1609097224.530405,0.29329000,0.29319000,0.29315000,91222011.59981787,0.29082829,20687,0.26561000,0.31138000,0
1609097236.709023,0.29320000,0.29319000,0.29326000,91223102.27941958,0.29082832,20688,0.26561000,0.31138000,0
1609097249.433515,0.29275000,0.29257000,0.29318000,91258641.93898751,0.29082924,20694,0.26561000,0.31138000,0
1609097261.44091,0.29286000,0.29274000,0.29294000,91270758.37750734,0.29082949,20706,0.26561000,0.31138000,0
1609097272.6477811,0.29311000,0.29310000,0.29310000,91287143.86024182,0.29082986,20719,0.26561000,0.31138000,0
1609097283.837409,0.29317000,0.29311000,0.29319000,91287842.49795462,0.29082988,20721,0.26561000,0.31138000,0
1609097295.298028,0.29323000,0.29311000,0.29319000,91287842.49795462,0.29082988,20721,0.26561000,0.31138000,0
1609097308.438081,0.29311000,0.29310000,0.29319000,91287842.49795462,0.29082988,20721,0.26561000,0.31138000,0
1609097319.600818,0.29298000,0.29289000,0.29310000,91288737.66678521,0.29082990,20724,0.26561000,0.31138000,0
1609097330.7809658,0.29300000,0.29290000,0.29310000,91288737.66678521,0.29082990,20724,0.26561000,0.31138000,0
1609097342.130431,0.29306000,0.29293000,0.29310000,91288737.66678521,0.29082990,20724,0.26561000,0.31138000,0
1609097353.3164082,0.29332000,0.29315000,0.29324000,91290652.40595024,0.29082995,20727,0.26561000,0.31138000,0
1609097364.542013,0.29312000,0.29299000,0.29324000,91290652.40595024,0.29082995,20727,0.26561000,0.31138000,0
1609097375.710287,0.29314000,0.29301000,0.29314000,91291300.85686106,0.29082996,20728,0.26561000,0.31138000,0
1609097387.11027,0.29289000,0.29288000,0.29314000,91291300.85686106,0.29082996,20728,0.26561000,0.31138000,0
1609097398.380949,0.29284000,0.29275000,0.29262000,91291900.28399898,0.29082997,20730,0.26561000,0.31138000,0
1609097409.894366,0.29321000,0.29313000,0.29334000,91311900.28399898,0.29083052,20734,0.26561000,0.31138000,0
1609097421.112065,0.29350000,0.29339000,0.29334000,91311900.28399898,0.29083052,20734,0.26561000,0.31138000,0
1609097434.292734,0.29360000,0.29346000,0.29334000,91311900.28399898,0.29083052,20734,0.26561000,0.31138000,0
1609097445.700135,0.29342000,0.29326000,0.29348000,91313103.00468450,0.29083056,20737,0.26561000,0.31138000,0
1609097457.3297331,0.29337000,0.29336000,0.29348000,91313103.00468450,0.29083056,20737,0.26561000,0.31138000,0
1609097468.54317,0.29328000,0.29317000,0.29331000,91313461.74675301,0.29083057,20738,0.26561000,0.31138000,0
1609097480.786349,0.29330000,0.29317000,0.29331000,91313461.74675301,0.29083057,20738,0.26561000,0.31138000,0
1609097492.298288,0.29371000,0.29351000,0.29349000,91314910.30567135,0.29083061,20740,0.26561000,0.31138000,0
1609097503.602954,0.29397000,0.29386000,0.29349000,91314910.30567135,0.29083061,20740,0.26561000,0.31138000,0
1609097514.8871412,0.29372000,0.29358000,0.29349000,91314910.30567135,0.29083061,20740,0.26561000,0.31138000,0
1609097526.0607622,0.29365000,0.29339000,0.29349000,91314910.30567135,0.29083061,20740,0.26561000,0.31138000,0
1609097537.276103,0.29350000,0.29344000,0.29349000,91314910.30567135,0.29083061,20740,0.26561000,0.31138000,0
1609097548.479367,0.29373000,0.29353000,0.29352000,91376631.30567135,0.29083243,20746,0.26561000,0.31138000,0
1609097559.974734,0.29369000,0.29360000,0.29352000,91376631.30567135,0.29083243,20746,0.26561000,0.31138000,0
1609097571.2654998,0.29352000,0.29351000,0.29352000,91376631.30567135,0.29083243,20746,0.26561000,0.31138000,0
1609097582.465316,0.29352000,0.29351000,0.29351000,91400159.24448653,0.29083311,20748,0.26561000,0.31138000,0
