unix,a,b,c,v,p,t,l,h,o
1609086114.327179,26872.60000,26857.20000,26850.00000,10121.61977535,27291.28000,55968,26245.90000,28353.20000,2
1609086118.36373,26871.10000,26859.10000,26850.00000,10121.61977535,27291.28000,55968,26245.90000,28353.20000,2
1609086129.936285,26830.00000,26829.60000,26830.00000,10151.56295347,27289.76618,56141,26245.90000,28353.20000,2
1609086134.36927,26858.70000,26838.70000,26859.60000,10152.52180863,27289.72318,56152,26245.90000,28353.20000,2
1609086146.4179761,26834.70000,26828.60000,26828.50000,10157.97039263,27289.47899,56188,26245.90000,28353.20000,2
1609086156.650218,26841.70000,26835.30000,26835.30000,10159.19699083,27289.42155,56198,26245.90000,28353.20000,2
1609086167.147904,26850.90000,26846.20000,26854.70000,10160.16048146,27289.37830,56213,26245.90000,28353.20000,2
1609086177.363115,26856.80000,26856.70000,26856.80000,10160.66790267,27289.35645,56218,26245.90000,28353.20000,2
1609086187.5835588,26918.30000,26908.60000,26936.20000,10171.38676046,27288.95990,56255,26245.90000,28353.20000,2
1609086197.81057,26897.50000,26897.40000,26897.50000,10171.62630910,27288.95083,56266,26245.90000,28353.20000,2
