unix,action,price (eth),balance (usd),balance (eth),valuation (usd),total net (%),uptime,dataset size
2021-01-02 09:27:32,hold,759.83,200,0,200.0,0.0,0:00:19,2400
2021-01-02 09:27:42,buy,759.6,0.0,0.26329647,200.0,0.0,0:00:30,2400
2021-01-02 09:27:53,sell,759.7,200.03,0.0,200.03,0.013,0:00:41,2400
2021-01-02 09:28:03,buy,759.7,0.0,0.26329647,200.03,0.013,0:00:51,2400
2021-01-02 09:28:14,hold,759.7,0.0,0.26329647,200.03,0.013,0:01:02,2400
2021-01-02 09:28:24,sell,759.99,200.1,0.0,200.1,0.051,0:01:12,2400
2021-01-02 09:28:35,buy,759.47,0.0,0.26347675,200.1,0.051,0:01:23,2400
2021-01-02 09:28:45,hold,759.01,0.0,0.26347675,199.98,-0.009,0:01:33,2400
2021-01-02 09:28:56,hold,758.97,0.0,0.26347675,199.97,-0.015,0:01:43,2400
2021-01-02 09:29:05,hold,758.58,0.0,0.26347675,199.87,-0.066,0:01:53,2400
2021-01-02 09:29:15,hold,757.97,0.0,0.26347675,199.71,-0.146,0:02:03,2400
2021-01-02 09:29:24,hold,757.47,0.0,0.26347675,199.58,-0.212,0:02:12,2400
2021-01-02 09:29:33,hold,757.25,0.0,0.26347675,199.52,-0.241,0:02:21,2400
2021-01-02 09:29:43,hold,755.99,0.0,0.26347675,199.19,-0.407,0:02:30,2400
2021-01-02 09:29:52,hold,755.67,0.0,0.26347675,199.1,-0.449,0:02:39,2400
2021-01-02 09:30:01,hold,755.49,0.0,0.26347675,199.05,-0.473,0:02:49,2400
2021-01-02 09:30:11,sell,756.75,199.39,0.0,199.39,-0.307,0:02:59,2400
2021-01-02 09:30:20,hold,757.17,199.39,0.0,199.39,-0.307,0:03:08,2400
2021-01-02 09:30:30,hold,758.22,199.39,0.0,199.39,-0.307,0:03:17,2400
2021-01-02 09:30:39,hold,758.38,199.39,0.0,199.39,-0.307,0:03:27,2400
