unix,action,price (xbt),balance (usd),balance (xbt),valuation (usd),total net (%),uptime,dataset size
2021-01-03 20:58:55,hold,33212.1,3000,0,3000.0,0.0,0:00:20,2400
2021-01-03 20:59:05,hold,33212.1,3000,0,3000.0,0.0,0:00:30,2400
2021-01-03 20:59:16,hold,33212.1,3000,0,3000.0,0.0,0:00:41,2400
2021-01-03 20:59:26,hold,33212.1,3000,0,3000.0,0.0,0:00:51,2400
2021-01-03 20:59:36,hold,33212.1,3000,0,3000.0,0.0,0:01:01,2400
2021-01-03 20:59:47,hold,33212.1,3000,0,3000.0,0.0,0:01:12,2400
2021-01-03 20:59:57,hold,33212.1,3000,0,3000.0,0.0,0:01:22,2400
2021-01-03 21:00:08,hold,33212.1,3000,0,3000.0,0.0,0:01:33,2400
2021-01-03 21:00:17,hold,33212.1,3000,0,3000.0,0.0,0:01:42,2400
2021-01-03 21:00:27,hold,33212.1,3000,0,3000.0,0.0,0:01:52,2400
2021-01-03 21:00:36,hold,33212.1,3000,0,3000.0,0.0,0:02:01,2400
2021-01-03 21:00:46,hold,33212.1,3000,0,3000.0,0.0,0:02:11,2400
2021-01-03 21:00:55,hold,33212.1,3000,0,3000.0,0.0,0:02:20,2400
2021-01-03 21:01:04,hold,33212.1,3000,0,3000.0,0.0,0:02:29,2400
2021-01-03 21:01:13,hold,33212.1,3000,0,3000.0,0.0,0:02:38,2400
