unix,action,price (ltc),balance (usd),balance (ltc),valuation (usd),total net (%),uptime,dataset size
2021-01-03 21:07:31,hold,160.29,3000,0,3000.0,0.0,0:00:20,2400
2021-01-03 21:07:42,hold,160.3,3000,0,3000.0,0.0,0:00:30,2400
2021-01-03 21:07:52,hold,160.3,3000,0,3000.0,0.0,0:00:41,2400
2021-01-03 21:08:02,sell,160.76,3000,0,3000.0,0.0,0:00:51,2400
2021-01-03 21:08:13,buy,160.57,0.0,18.68344024,3000.0,0.0,0:01:01,2400
2021-01-03 21:08:23,sell,160.61,3000.75,0.0,3000.75,0.025,0:01:12,2400
2021-01-03 21:08:34,buy,160.41,-0.0,18.70673485,3000.75,0.025,0:01:22,2400
2021-01-03 21:08:44,sell,160.57,3003.74,0.0,3003.74,0.125,0:01:33,2400
2021-01-03 21:08:53,buy,160.37,0.0,18.73006432,3003.74,0.125,0:01:42,2400
2021-01-03 21:09:02,sell,160.52,3006.55,0.0,3006.55,0.218,0:01:51,2400
2021-01-03 21:09:12,buy,160.53,0.0,18.72889756,3006.55,0.218,0:02:01,2400
2021-01-03 21:09:22,hold,160.61,0.0,18.72889756,3008.05,0.268,0:02:10,2400
2021-01-03 21:09:31,buy,160.61,0.0,18.72889756,3008.05,0.268,0:02:19,2400
2021-01-03 21:09:40,sell,160.87,3012.92,0.0,3012.92,0.431,0:02:29,2400
2021-01-03 21:09:49,hold,161.0,3012.92,0.0,3012.92,0.431,0:02:38,2400
2021-01-03 21:09:59,hold,161.05,3012.92,0.0,3012.92,0.431,0:02:47,2400
2021-01-03 21:10:08,hold,161.38,3012.92,0.0,3012.92,0.431,0:02:57,2400
2021-01-03 21:10:17,buy,161.06,0.01,18.67687248,3008.1,0.27,0:03:06,2400
2021-01-03 21:10:27,sell,161.09,3003.85,4.781e-05,3003.86,0.129,0:03:16,2400
2021-01-03 21:10:36,buy,161.07,0.01,18.61956161,2999.06,-0.031,0:03:25,2400
2021-01-03 21:10:46,hold,160.89,0.01,18.61956161,2995.71,-0.143,0:03:34,2400
2021-01-03 21:10:55,sell,160.93,0.01,18.61956161,2996.45,-0.118,0:03:44,2400
2021-01-03 21:11:05,hold,161.01,0.01,18.61956161,2997.94,-0.069,0:03:53,2400
