unix,action,price (tsla),balance (usd),balance (tsla),valuation (usd),total net (%),uptime,dataset size
2021-01-04 13:52:55,hold,735.75,2000,0,2000.0,0.0,0:00:18,46
2021-01-04 13:53:05,hold,735.62,2000,0,2000.0,0.0,0:00:28,47
2021-01-04 13:53:14,sell,735.73,2000,0,2000.0,0.0,0:00:37,48
2021-01-04 13:53:23,hold,736.0,2000,0,2000.0,0.0,0:00:47,49
2021-01-04 13:53:33,hold,748.0,2000,0,2000.0,0.0,0:00:56,50
2021-01-04 13:53:42,buy,743.0,0.0,2.69179004,2000.0,0.0,0:01:06,51
2021-01-04 13:53:52,hold,743.0,0.0,2.69179004,2000.0,0.0,0:01:15,52
2021-01-04 13:54:01,hold,743.0,0.0,2.69179004,2000.0,0.0,0:01:24,53
2021-01-04 13:54:10,sell,748.0,2013.46,-0.0,2013.46,0.673,0:01:34,54
2021-01-04 13:54:20,buy,743.0,0.0,2.70990437,2013.46,0.673,0:01:43,55
2021-01-04 13:54:29,hold,737.49,0.0,2.70990437,1998.53,-0.074,0:01:52,56
2021-01-04 13:54:39,hold,737.49,0.0,2.70990437,1998.53,-0.074,0:02:02,57
2021-01-04 13:54:48,hold,737.49,0.0,2.70990437,1998.53,-0.074,0:02:11,58
2021-01-04 13:54:57,hold,737.49,0.0,2.70990437,1998.53,-0.074,0:02:21,59
2021-01-04 13:55:07,sell,748.0,2027.01,-0.0,2027.01,1.35,0:02:30,60
2021-01-04 13:55:16,buy,735.59,2027.01,-0.0,2027.01,1.35,0:02:39,61
2021-01-04 13:55:25,sell,738.44,2027.01,-0.0,2027.01,1.35,0:02:48,62
2021-01-04 13:55:35,buy,738.44,0.0,2.74498737,2027.01,1.35,0:02:58,63
2021-01-04 13:55:44,sell,748.0,2053.25,-0.0,2053.25,2.663,0:03:07,64
2021-01-04 13:55:54,buy,738.44,0.0,2.78052455,2053.25,2.663,0:03:17,65
2021-01-04 13:56:03,hold,738.44,0.0,2.78052455,2053.25,2.663,0:03:26,66
2021-01-04 13:56:12,hold,738.44,0.0,2.78052455,2053.25,2.663,0:03:36,67
2021-01-04 13:56:22,hold,738.44,0.0,2.78052455,2053.25,2.663,0:03:45,68
2021-01-04 13:56:31,hold,738.44,0.0,2.78052455,2053.25,2.663,0:03:54,68
2021-01-04 13:56:40,hold,738.44,0.0,2.78052455,2053.25,2.663,0:04:03,69
2021-01-04 13:56:50,hold,734.6,0.0,2.78052455,2042.57,2.129,0:04:13,70
2021-01-04 13:56:59,hold,733.65,0.0,2.78052455,2039.93,1.997,0:04:22,71
2021-01-04 13:57:09,sell,738.44,2053.25,-0.0,2053.25,2.663,0:04:32,72
2021-01-04 13:57:18,buy,738.44,0.0,2.78052455,2053.25,2.663,0:04:41,73
2021-01-04 13:57:27,hold,738.44,0.0,2.78052455,2053.25,2.663,0:04:50,74
2021-01-04 13:57:37,hold,738.44,0.0,2.78052455,2053.25,2.663,0:05:00,75
2021-01-04 13:57:46,sell,748.0,2079.83,-0.0,2079.83,3.992,0:05:09,76
2021-01-04 13:57:55,buy,738.44,0.0,2.81652181,2079.83,3.992,0:05:18,77
2021-01-04 13:58:05,hold,733.92,0.0,2.81652181,2067.1,3.355,0:05:28,78
2021-01-04 13:58:14,sell,734.06,2067.5,-0.0,2067.5,3.375,0:05:37,79
2021-01-04 13:58:23,hold,738.44,2067.5,-0.0,2067.5,3.375,0:05:47,80
2021-01-04 13:58:33,buy,738.44,0.0,2.79981583,2067.5,3.375,0:05:56,81
2021-01-04 13:58:42,hold,738.44,0.0,2.79981583,2067.5,3.375,0:06:05,82
2021-01-04 13:58:51,hold,738.44,0.0,2.79981583,2067.5,3.375,0:06:14,83
2021-01-04 13:59:00,sell,748.0,2094.26,-0.0,2094.26,4.713,0:06:24,84
2021-01-04 13:59:10,buy,738.44,0.0,2.83606283,2094.26,4.713,0:06:33,85
2021-01-04 13:59:19,hold,733.73,0.0,2.83606283,2080.9,4.045,0:06:42,86
2021-01-04 13:59:29,hold,733.49,0.0,2.83606283,2080.22,4.011,0:06:52,87
2021-01-04 13:59:38,hold,733.33,0.0,2.83606283,2079.77,3.988,0:07:01,88
2021-01-04 13:59:47,hold,733.01,0.0,2.83606283,2078.86,3.943,0:07:10,89
2021-01-04 13:59:57,sell,733.49,2080.22,-0.0,2080.22,4.011,0:07:20,90
2021-01-04 14:00:06,hold,748.0,2080.22,-0.0,2080.22,4.011,0:07:29,91
2021-01-04 14:00:15,buy,738.44,0.0,2.8170518,2080.22,4.011,0:07:39,92
2021-01-04 14:00:25,hold,738.44,0.0,2.8170518,2080.22,4.011,0:07:48,93
2021-01-04 14:00:34,sell,748.0,2107.15,-0.0,2107.15,5.358,0:07:58,94
2021-01-04 14:00:44,buy,733.97,0.0,2.87090037,2107.15,5.358,0:08:07,95
2021-01-04 14:00:53,hold,733.88,0.0,2.87090037,2106.9,5.345,0:08:16,96
2021-01-04 14:01:02,sell,734.0,2107.24,-0.0,2107.24,5.362,0:08:26,97
2021-01-04 14:01:12,buy,734.0,0.0,2.87090037,2107.24,5.362,0:08:35,98
2021-01-04 14:01:21,sell,738.44,2119.99,-0.0,2119.99,5.999,0:08:44,99
2021-01-04 14:01:30,buy,738.44,0.0,2.87090037,2119.99,5.999,0:08:54,100
2021-01-04 14:01:40,hold,733.59,0.0,2.87090037,2106.06,5.303,0:09:03,101
2021-01-04 14:01:49,sell,733.76,2106.55,-0.0,2106.55,5.328,0:09:13,102
2021-01-04 14:01:59,buy,733.07,0.0,2.8736026,2106.55,5.328,0:09:22,103
2021-01-04 14:02:08,sell,733.62,2108.13,-0.0,2108.13,5.407,0:09:31,104
2021-01-04 14:02:17,buy,733.43,0.0,2.87434702,2108.13,5.407,0:09:40,105
2021-01-04 14:02:27,sell,733.62,2108.68,-0.0,2108.68,5.434,0:09:50,106
2021-01-04 14:02:36,buy,733.62,0.0,2.87434702,2108.68,5.434,0:09:59,107
2021-01-04 14:02:45,hold,733.62,0.0,2.87434702,2108.68,5.434,0:10:08,108
2021-01-04 14:02:55,sell,748.0,2150.01,-0.0,2150.01,7.501,0:10:18,109
2021-01-04 14:03:04,buy,733.62,0.0,2.93068833,2150.01,7.501,0:10:28,110
2021-01-04 14:03:14,hold,733.62,0.0,2.93068833,2150.01,7.501,0:10:37,111
2021-01-04 14:03:24,hold,733.62,0.0,2.93068833,2150.01,7.501,0:10:47,112
2021-01-04 14:03:33,hold,733.34,0.0,2.93068833,2149.19,7.46,0:10:56,113
2021-01-04 14:03:42,sell,748.0,2192.15,-0.0,2192.15,9.608,0:11:05,114
2021-01-04 14:03:52,buy,733.62,0.0,2.98813401,2192.15,9.608,0:11:15,115
2021-01-04 14:04:01,hold,733.62,0.0,2.98813401,2192.15,9.608,0:11:24,116
2021-01-04 14:04:10,hold,733.62,0.0,2.98813401,2192.15,9.608,0:11:34,117
2021-01-04 14:04:20,hold,733.62,0.0,2.98813401,2192.15,9.608,0:11:43,118
2021-01-04 14:04:29,sell,748.0,2235.12,-0.0,2235.12,11.756,0:11:52,119
2021-01-04 14:04:39,buy,738.0,0.0,3.02862363,2235.12,11.756,0:12:02,120
2021-01-04 14:04:48,hold,733.62,0.0,3.02862363,2221.86,11.093,0:12:11,121
2021-01-04 14:04:57,sell,738.44,2236.46,-0.0,2236.46,11.823,0:12:20,122
2021-01-04 14:05:07,buy,733.38,0.0,3.0495198,2236.46,11.823,0:12:30,123
2021-01-04 14:05:16,sell,733.62,2237.19,-0.0,2237.19,11.859,0:12:39,124
2021-01-04 14:05:25,buy,733.62,0.0,3.0495198,2237.19,11.859,0:12:48,125
2021-01-04 14:05:35,hold,733.62,0.0,3.0495198,2237.19,11.859,0:12:58,126
2021-01-04 14:05:44,hold,733.62,0.0,3.0495198,2237.19,11.859,0:13:07,127
2021-01-04 14:05:54,sell,748.0,2281.04,-0.0,2281.04,14.052,0:13:17,128
2021-01-04 14:06:03,buy,738.44,0.0,3.08899953,2281.04,14.052,0:13:26,129
2021-01-04 14:06:12,sell,748.0,2310.57,-0.0,2310.57,15.529,0:13:35,130
2021-01-04 14:06:21,buy,732.99,0.0,3.15225535,2310.57,15.529,0:13:45,131
2021-01-04 14:06:31,sell,738.44,2327.75,-0.0,2327.75,16.388,0:13:54,132
2021-01-04 14:06:41,buy,738.44,0.0,3.15225535,2327.75,16.388,0:14:04,133
2021-01-04 14:06:50,hold,738.44,0.0,3.15225535,2327.75,16.388,0:14:13,134
2021-01-04 14:06:59,hold,738.44,0.0,3.15225535,2327.75,16.388,0:14:23,135
2021-01-04 14:07:09,sell,748.0,2357.89,-0.0,2357.89,17.894,0:14:32,136
2021-01-04 14:07:18,buy,738.44,0.0,3.19306511,2357.89,17.894,0:14:42,137
2021-01-04 14:07:28,sell,748.0,2388.41,-0.0,2388.41,19.421,0:14:51,138
2021-01-04 14:07:37,buy,738.44,0.0,3.2344032,2388.41,19.421,0:15:00,139
2021-01-04 14:07:46,hold,738.44,0.0,3.2344032,2388.41,19.421,0:15:10,140
