unix,action,price,balance (usd),balance (ltc),valuation (usd),total net (%),dataset size
2020-12-29 22:38:23.949189,hold,130.22,600.0,0,600.0,0.0,2400
2020-12-29 22:38:36.716954,hold,130.22,600.0,0,600.0,0.0,2400
2020-12-29 22:38:49.136877,sell,130.31,600.0,0,600.0,0.0,2400
2020-12-29 22:39:01.972758,hold,130.36,600.0,0,600.0,0.0,2400
2020-12-29 22:39:14.374520,buy,130.34,0.0,4.6033450974374714,600.0,0.0,2400
2020-12-29 22:39:26.727065,hold,130.22,0.0,4.6033450974374714,599.4475985883075,-0.09206690194875478,2400
2020-12-29 22:39:39.123484,sell,130.24,599.5396654902563,0.0,599.5396654902563,-0.07672241829061477,2400
2020-12-29 22:39:51.557222,hold,130.3,599.5396654902563,0.0,599.5396654902563,-0.07672241829061477,2400
2020-12-29 22:40:02.965095,hold,130.38,599.5396654902563,0.0,599.5396654902563,-0.07672241829061477,2400
2020-12-29 22:40:14.324923,buy,130.31,0.0,4.600872269896833,599.5396654902563,-0.07672241829061477,2400
2020-12-29 22:40:25.501403,hold,130.24,0.0,4.600872269896833,599.2176044313635,-0.13039926143942182,2400
2020-12-29 22:40:37.285054,hold,130.24,0.0,4.600872269896833,599.2176044313635,-0.13039926143942182,2400
2020-12-29 22:40:48.512274,hold,130.24,0.0,4.600872269896833,599.2176044313635,-0.13039926143942182,2400
2020-12-29 22:40:59.718639,hold,130.24,0.0,4.600872269896833,599.2176044313635,-0.13039926143942182,2400
2020-12-29 22:41:10.912820,hold,130.24,0.0,4.600872269896833,599.2176044313635,-0.13039926143942182,2400
